compound_0,compound_0_role,compound_0_amount,compound_0_amount_grams,compound_1,compound_1_role,compound_1_amount,compound_1_amount_grams,compound_2,compound_2_role,compound_2_amount,compound_2_amount_grams,compound_3,compound_3_role,compound_3_amount,compound_3_amount_grams,compound_4,compound_4_role,compound_4_amount,compound_4_amount_grams,id,notes,labGroup,dirty,calculating,recalculate,reaction_ptr,user,performedBy,performedDateTime,insertedDateTime,recommendation,legacyRecommendedFlag,valid,public,duplicateOf,legacyID,legacyRef,convertedLegacyRef,reference,labBookPage
Ammonium metavanadate,Inorg,1.02412,0.11980,DABCO,Org,1.06707,0.11970,Selenium dioxide,Inorg,6.11222,0.67820,Water,Solv,363.85235,6.55491,?,?,?,?,27010,,Norquist Oxide Lab,True,False,False,Reaction_27010,cfalk,,,2016-05-02 20:53:41,,False,False,True,,1,jho210.1,jho210.1,jho210.1,
DABCO,Org,0.28170,0.03160,Ammonium metavanadate,Inorg,1.00361,0.11740,Selenium dioxide,Inorg,6.14286,0.68160,Water,Solv,373.53872,6.72941,?,?,?,?,27011,,Norquist Oxide Lab,False,False,False,Reaction_27011,cfalk,,,2016-05-02 20:53:41,,False,True,True,,2,jho210.2,jho210.2,jho210.2,
Ammonium metavanadate,Inorg,0.53600,0.06270,DABCO,Org,1.05014,0.11780,Selenium dioxide,Inorg,6.19874,0.68780,Water,Solv,355.15404,6.39821,?,?,?,?,27012,,Norquist Oxide Lab,False,False,False,Reaction_27012,cfalk,,,2016-05-02 20:53:41,,False,True,True,,3,jho210.3,jho210.3,jho210.3,
DABCO,Org,0.21217,0.02380,Ammonium metavanadate,Inorg,0.53001,0.06200,Selenium dioxide,Inorg,5.79859,0.64340,Water,Solv,355.24285,6.39981,?,?,?,?,27013,,Norquist Oxide Lab,False,False,False,Reaction_27013,cfalk,,,2016-05-02 20:53:41,,False,True,True,,4,jho210.4,jho210.4,jho210.4,
Vanadium(V) oxide,Inorg,0.52782,0.09600,DABCO,Org,1.06083,0.11900,Selenium dioxide,Inorg,5.92296,0.65720,Water,Solv,380.39967,6.85301,?,?,?,?,27014,,Norquist Oxide Lab,False,False,False,Reaction_27014,cfalk,,,2016-05-02 20:53:41,,False,True,True,,5,jho210.5,jho210.5,jho210.5,
DABCO,Org,0.21841,0.02450,Vanadium(V) oxide,Inorg,0.52342,0.09520,Selenium dioxide,Inorg,6.26543,0.69520,Water,Solv,333.18901,6.00250,?,?,?,?,27015,,Norquist Oxide Lab,False,False,False,Reaction_27015,cfalk,,,2016-05-02 20:53:41,,False,True,True,,6,jho210.6,jho210.6,jho210.6,
Ammonium metavanadate,Inorg,0.98309,0.11500,Ethylenediamine,Org,1.21131,0.07280,Selenium dioxide,Inorg,10.03533,1.11351,Water,Solv,337.95171,6.08830,?,?,?,?,27016,,Norquist Oxide Lab,False,False,False,Reaction_27016,cfalk,,,2016-05-02 20:53:41,,False,True,True,,7,jho212.1,jho212.1,jho212.1,
Ammonium metavanadate,Inorg,0.95830,0.11210,Ethylenediamine,Org,1.77870,0.10690,Selenium dioxide,Inorg,10.59500,1.17561,Water,Solv,370.69664,6.67821,?,?,?,?,27017,,Norquist Oxide Lab,False,False,False,Reaction_27017,cfalk,,,2016-05-02 20:53:41,,False,True,True,,8,jho212.2,jho212.2,jho212.2,
Ammonium metavanadate,Inorg,1.00617,0.11770,Ethylenediamine,Org,1.03328,0.06210,Selenium dioxide,Inorg,10.75903,1.19381,Water,Solv,336.49736,6.06210,?,?,?,?,27018,,Norquist Oxide Lab,False,False,False,Reaction_27018,cfalk,,,2016-05-02 20:53:41,,False,True,True,,9,jho212.3,jho212.3,jho212.3,
Ammonium metavanadate,Inorg,0.95744,0.11200,Ethylenediamine,Org,1.10815,0.06660,Selenium dioxide,Inorg,7.20092,0.79901,Water,Solv,362.22592,6.52561,?,?,?,?,27019,,Norquist Oxide Lab,False,False,False,Reaction_27019,cfalk,,,2016-05-02 20:53:41,,False,True,True,,10,jho212.4,jho212.4,jho212.4,
Ammonium metavanadate,Inorg,1.00446,0.11750,Ethylenediamine,Org,1.17471,0.07060,Selenious acid,Inorg,8.36710,1.07914,Water,Solv,333.62198,6.01030,?,?,?,?,27020,,Norquist Oxide Lab,False,False,False,Reaction_27020,amilder,,,2016-05-02 20:53:41,,False,True,True,,11,jho213.1,jho213.1,jho213.1,
Ammonium metavanadate,Inorg,1.00019,0.11700,Ethylenediamine,Org,1.28286,0.07710,Selenious acid,Inorg,10.41400,1.34314,Water,Solv,335.54260,6.04490,?,?,?,?,27021,,Norquist Oxide Lab,False,False,False,Reaction_27021,amilder,,,2016-05-02 20:53:41,,False,True,True,,12,jho213.2,jho213.2,jho213.2,
3-Aminoquinuclidine dihydrochloride,Org,1.01494,0.20210,Ammonium metavanadate,Inorg,1.01814,0.11910,Selenious acid,Inorg,8.48340,1.09414,Water,Solv,352.84485,6.35661,?,?,?,?,27022,,Norquist Oxide Lab,False,False,False,Reaction_27022,amilder,,,2016-05-02 20:53:41,,False,True,True,,13,jho213.3,jho213.3,jho213.3,
Ammonium metavanadate,Inorg,1.00617,0.11770,3-Aminoquinuclidine dihydrochloride,Org,1.24444,0.24779,Selenious acid,Inorg,10.03490,1.29424,Water,Solv,335.50375,6.04420,?,?,?,?,27023,,Norquist Oxide Lab,False,False,False,Reaction_27023,amilder,,,2016-05-02 20:53:41,,False,True,True,,14,jho213.4,jho213.4,jho213.4,
Ammonium metavanadate,Inorg,1.00104,0.11710,2-Methylpiperazine,Org,1.18005,0.11820,Selenious acid,Inorg,8.06700,1.04043,Water,Solv,333.99944,6.01710,?,?,?,?,27024,,Norquist Oxide Lab,False,False,False,Reaction_27024,amilder,,,2016-05-02 20:53:41,,False,True,True,,15,jho213.5,jho213.5,jho213.5,
